Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
FEngineLoop::Tick,1791,1791.000000,29.998534,0.001666,0.028935,0.016750,0.016816,0.015071,0.000002,0.000038,0.000008,0.000008
Frame,1791,1791.000000,29.952183,0.001639,0.028914,0.016724,0.016792,0.010886,0.000001,0.000072,0.000006,0.000006
FrameTime,3581,3581.000000,29.893286,0.000025,0.016160,0.008348,0.008337,0.064117,0.000000,0.000126,0.000018,0.000023
FEngineLoop_UpdateTimeAndHandleMaxTickRate,1791,1791.000000,17.062719,0.000010,0.014635,0.009527,0.009317,0.029380,0.000004,0.000161,0.000016,0.000016
Game thread tick wait time,1791,1791.000000,17.033339,0.000001,0.014619,0.009511,0.009303,0.000960,0.000000,0.000005,0.000001,0.000001
Game thread idle time,1791,1791.000000,17.032379,0.000001,0.014618,0.009510,0.009303,17.032379,0.000001,0.014618,0.009510,0.009303
Tick_Engine,1790,1790.000000,12.251895,0.002854,0.015901,0.006845,0.007072,0.004969,0.000001,0.000040,0.000003,0.000003
GameEngine Tick,1790,1790.000000,12.246926,0.002851,0.015899,0.006842,0.007069,0.086189,0.000033,0.009502,0.000048,0.000033
UWorld_Tick,1790,1790.000000,12.030158,0.002751,0.014572,0.006721,0.006930,0.006800,0.000002,0.000093,0.000004,0.000003
FRHIBreadcrumbScope_GameThread_Begin,1790,1790.000000,12.023358,0.002747,0.014568,0.006717,0.006926,0.036499,0.000012,0.000103,0.000020,0.000020
World Tick Time,1790,1790.000000,11.964402,0.002713,0.014533,0.006684,0.006892,0.050245,0.000019,0.000062,0.000028,0.000028
Tick Time,7160,7160.000000,7.557590,0.000003,0.011688,0.001056,0.000003,0.014452,0.000000,0.000044,0.000002,0.000001
ReleaseTickGroup Block,12530,12530.000000,7.447762,0.000000,0.010664,0.000594,0.000108,0.001524,0.000000,0.000004,0.000000,0.000000
TickCompletionEvents,10740,10740.000000,7.446238,0.000003,0.010664,0.000693,0.000111,0.009619,0.000000,0.000127,0.000001,0.000000
ProcessUntilTasksComplete,10740,10740.000000,7.422098,0.000003,0.010654,0.000691,0.000110,0.148006,0.000001,0.000167,0.000014,0.000006
TG_PrePhysics,1790,1790.000000,6.264167,0.001252,0.010677,0.003500,0.003442,0.004441,0.000001,0.000017,0.000002,0.000002
FTickFunctionTask,106456,106456.000000,5.054491,0.000000,0.003220,0.000047,0.000000,0.054315,0.000000,0.000142,0.000001,0.000000
FActorComponentTickFunction::ExecuteTick,54540,54540.000000,3.967644,0.000000,0.003219,0.000073,0.000000,0.014757,0.000000,0.000054,0.000000,0.000000
TickableGameObjects Time,3580,3580.000000,2.426021,0.000012,0.009587,0.000678,0.000109,0.087240,0.000008,0.000173,0.000024,0.000024
GT Tickable Time,1790,1790.000000,2.414060,0.000071,0.009591,0.001349,0.000071,0.001710,0.000000,0.000068,0.000001,0.000001
WaitForTasks,1008,1008.000000,2.162189,0.000003,0.006687,0.002145,0.002231,2.162189,0.000003,0.006687,0.002145,0.002231
UGuLiBattleAuthoritySubsystem,1790,1790.000000,2.105923,0.000004,0.009342,0.001176,0.000004,0.997277,0.000001,0.004753,0.000557,0.000001
CharMoveComp,7160,7160.000000,1.798568,0.000034,0.000827,0.000251,0.000286,0.003871,0.000000,0.000016,0.000001,0.000000
UCharacterMovementComponent_TickComponent,7160,7160.000000,1.794697,0.000034,0.000825,0.000251,0.000285,0.001333,0.000000,0.000001,0.000000,0.000000
Char Movement Total,7160,7160.000000,1.793364,0.000033,0.000824,0.000250,0.000285,0.001367,0.000000,0.000001,0.000000,0.000000
Char Tick,7160,7160.000000,1.791996,0.000033,0.000824,0.000250,0.000285,0.015882,0.000000,0.000028,0.000002,0.000001
Char NonSimulated Time,7160,7160.000000,1.769196,0.000032,0.000814,0.000247,0.000281,0.010222,0.000000,0.000127,0.000001,0.000001
Char PerformMovement,7160,7160.000000,1.753302,0.000032,0.000808,0.000245,0.000279,0.035453,0.000001,0.000090,0.000005,0.000003
NetBroadcastTickTime,1790,1790.000000,1.571461,0.000242,0.002181,0.000878,0.000829,0.000377,0.000000,0.000001,0.000000,0.000000
Net Broadcast Tick Time,1790,1790.000000,1.571084,0.000241,0.002181,0.000878,0.000829,0.006962,0.000002,0.000019,0.000004,0.000004
NetDriver TickFlush,1790,1790.000000,1.564122,0.000238,0.002176,0.000874,0.000826,0.001872,0.000001,0.000010,0.000001,0.000001
GameNetDriver,1790,1790.000000,1.562250,0.000237,0.002175,0.000873,0.000824,0.059587,0.000024,0.000087,0.000033,0.000032
Char PhysWalking,7160,7160.000000,1.466060,0.000031,0.000664,0.000205,0.000232,0.040850,0.000000,0.000055,0.000006,0.000003
SceneQueryTotal,28658,28658.000000,1.302493,0.000005,0.000221,0.000045,0.000044,0.003345,0.000000,0.000016,0.000000,0.000000
SoldierWorldReplication,1790,1790.000000,1.276650,0.000003,0.003218,0.000713,0.000782,0.239547,0.000003,0.000970,0.000134,0.000061
ServerReplicateActors Time,1790,1790.000000,1.227452,0.000084,0.002079,0.000686,0.000628,0.051707,0.000019,0.000160,0.000029,0.000028
Process Prioritized Actors Time,3580,3580.000000,1.050824,0.000000,0.001422,0.000294,0.000273,0.048132,0.000000,0.000116,0.000013,0.000012
MoveComponent(Primitive) Time,21498,21498.000000,1.018752,0.000001,0.000239,0.000047,0.000046,0.046014,0.000000,0.000100,0.000002,0.000001
Replicate Actor Time,90248,90248.000000,1.000649,0.000002,0.000691,0.000011,0.000009,0.023545,0.000000,0.000041,0.000000,0.000000
GeomSweepMultiple,35836,35836.000000,0.965889,0.000000,0.000229,0.000027,0.000017,0.044132,0.000000,0.000039,0.000001,0.000001
MoveComponent,17918,17918.000000,0.919790,0.000018,0.000217,0.000051,0.000046,0.909289,0.000018,0.000213,0.000051,0.000045
GuLiPose_Send,23400,23400.000000,0.852919,0.000001,0.000648,0.000036,0.000033,0.032934,0.000000,0.000124,0.000001,0.000000
NetDriver ProcessRemoteFunction,24000,24000.000000,0.844467,0.000000,0.000637,0.000035,0.000032,0.004261,0.000000,0.000048,0.000000,0.000000
ClientReceiveSoldierPoseChunk,23400,23400.000000,0.815868,0.000000,0.000636,0.000035,0.000032,0.293181,0.000000,0.000333,0.000013,0.000010
TG_StartPhysics,1790,1790.000000,0.603762,0.000169,0.000902,0.000337,0.000332,0.004346,0.000001,0.000005,0.000002,0.000002
FStartPhysicsTickFunction_ExecuteTick,1790,1790.000000,0.567284,0.000160,0.000874,0.000317,0.000311,0.003172,0.000001,0.000030,0.000002,0.000002
[Scene] - StartFrame,3580,3580.000000,0.564112,0.000000,0.000871,0.000158,0.000154,0.020736,0.000001,0.000135,0.000006,0.000005
Char StepUp,3580,3580.000000,0.536068,0.000105,0.000356,0.000150,0.000146,0.008748,0.000001,0.000028,0.000002,0.000002
Physics Tick,5370,5370.000000,0.507052,0.000000,0.000775,0.000094,0.000040,0.030203,0.000000,0.000068,0.000006,0.000005
GuLiCommander_SoldierCombat,300,300.000000,0.488610,0.001382,0.002765,0.001629,0.001508,0.488610,0.001382,0.002765,0.001629,0.001508
Door,7160,7160.000000,0.475167,0.000020,0.000312,0.000066,0.000034,0.003570,0.000000,0.000002,0.000000,0.000000
USkinnedMeshComponent_TickComponent,21480,21480.000000,0.472579,0.000000,0.000302,0.000022,0.000000,0.003490,0.000000,0.000015,0.000000,0.000000
SK_RPF_Door,7160,7160.000000,0.471597,0.000019,0.000311,0.000066,0.000034,0.015152,0.000000,0.000034,0.000002,0.000001
SkinnedMeshComp Tick,21480,21480.000000,0.469089,0.000000,0.000301,0.000022,0.000000,0.040664,0.000000,0.000030,0.000002,0.000001
IpConnection Socket SendTo,18844,18844.000000,0.465941,0.000012,0.000558,0.000025,0.000017,0.465941,0.000012,0.000558,0.000025,0.000017
GuLiTerritoryOutpostActor,57400,57400.000000,0.442914,0.000004,0.000203,0.000008,0.000008,0.169946,0.000002,0.000121,0.000003,0.000003
AnimGameThreadTime,14320,14320.000000,0.426161,0.000002,0.000263,0.000030,0.000021,0.002083,0.000000,0.000003,0.000000,0.000000
GuLiCommander_ManualAvoidanceRefresh,300,300.000000,0.384059,0.000890,0.001771,0.001280,0.001246,0.384059,0.000890,0.001771,0.001280,0.001246
Char FindFloor,7160,7160.000000,0.381397,0.000030,0.000198,0.000053,0.000050,0.013120,0.000000,0.000125,0.000002,0.000002
Start TG_DuringPhysics,1790,1790.000000,0.369551,0.000033,0.000702,0.000206,0.000067,0.002414,0.000000,0.000019,0.000001,0.000001
RefreshBoneTransforms,7160,7160.000000,0.354131,0.000015,0.000263,0.000049,0.000025,0.017482,0.000001,0.000036,0.000002,0.000002
ComputeFloorDist,10740,10740.000000,0.352841,0.000004,0.000191,0.000033,0.000031,0.343855,0.000004,0.000188,0.000032,0.000030
Evolution/Kinematic update and forces,1790,1790.000000,0.348023,0.000093,0.000659,0.000194,0.000190,0.009683,0.000003,0.000037,0.000005,0.000005
FPBDRigidsEvolutionGBF::AdvanceOneTimeStep,1790,1790.000000,0.334196,0.000089,0.000651,0.000187,0.000180,0.015006,0.000004,0.000078,0.000008,0.000008
GeomSweepSingle,7160,7160.000000,0.330377,0.000027,0.000194,0.000046,0.000049,0.011301,0.000000,0.000019,0.000002,0.000001
CommanderNetSync,5827,5827.000000,0.314703,0.000001,0.000471,0.000054,0.000010,0.278636,0.000000,0.000310,0.000048,0.000004
STAT_NetDriver_TickClientConnections,1790,1790.000000,0.268835,0.000048,0.000448,0.000150,0.000141,0.005113,0.000001,0.000067,0.000003,0.000003
NetConnection Tick,3580,3580.000000,0.263723,0.000002,0.000311,0.000074,0.000077,0.053530,0.000001,0.000140,0.000015,0.000015
Mass Total Frame Time,16110,16110.000000,0.261863,0.000001,0.000173,0.000016,0.000007,0.044308,0.000000,0.000102,0.000003,0.000002
EndScopedMovementUpdate Time,10740,10740.000000,0.245853,0.000000,0.000205,0.000023,0.000000,0.012128,0.000000,0.000027,0.000001,0.000000
STAT_Evolution_StepSolver_IntegrateKinematicSpatial,1790,1790.000000,0.227790,0.000059,0.000592,0.000127,0.000124,0.003665,0.000001,0.000027,0.000002,0.000002
Deferred Tick Time,1790,1790.000000,0.221052,0.000072,0.001758,0.000123,0.000106,0.001748,0.000000,0.000046,0.000001,0.000001
Mass Phase Tick,10740,10740.000000,0.220288,0.000001,0.000173,0.000021,0.000005,0.002534,0.000000,0.000037,0.000000,0.000000
Tick_Core,1790,1790.000000,0.213860,0.000069,0.001752,0.000119,0.000086,0.002418,0.000001,0.000021,0.000001,0.000001
STAT_FTicker_Tick,5370,5370.000000,0.211443,0.000000,0.001750,0.000039,0.000000,0.178426,0.000000,0.001622,0.000033,0.000000
UpdateComponentToWorld,89591,89591.000000,0.192872,0.000000,0.000165,0.000002,0.000000,0.019692,0.000000,0.000096,0.000000,0.000000
STAT_USkeletalMeshComponent_RefreshBoneTransforms_GamethreadEval,7160,7160.000000,0.187725,0.000008,0.000112,0.000026,0.000014,0.006460,0.000000,0.000005,0.000001,0.000001
UpdateChildTransforms,35800,35800.000000,0.185057,0.000000,0.000169,0.000005,0.000000,0.019846,0.000000,0.000019,0.000001,0.000001
GuLiPose_Wire,23248,23248.000000,0.183661,0.000002,0.000096,0.000008,0.000008,0.183661,0.000002,0.000096,0.000008,0.000008
PerformAnimEvaluation,7160,7160.000000,0.178818,0.000007,0.000108,0.000025,0.000013,0.019808,0.000001,0.000034,0.000003,0.000002
GuLiPose_Capture,300,300.000000,0.177994,0.000409,0.000948,0.000593,0.000556,0.177994,0.000409,0.000948,0.000593,0.000556
FPBDRigidsEvolutionGBF::ComputeIntermediateSpatialAcceleration,1790,1790.000000,0.170742,0.000031,0.000559,0.000095,0.000089,0.001642,0.000000,0.000004,0.000001,0.000001
SkeletalMeshComponent0,10740,10740.000000,0.170592,0.000001,0.000164,0.000016,0.000005,0.005822,0.000000,0.000016,0.000001,0.000000
ComputeIntermediateSpatialAcceleration,1790,1790.000000,0.169100,0.000030,0.000557,0.000094,0.000089,0.019123,0.000002,0.000070,0.000011,0.000012
FMassProcessingPhase::ExecuteTick EMassProcessingPhase::PrePhysics,1790,1790.000000,0.168243,0.000069,0.000165,0.000094,0.000092,0.056140,0.000023,0.000059,0.000031,0.000031
TG_EndPhysics,1790,1790.000000,0.165156,0.000036,0.000288,0.000092,0.000094,0.001553,0.000000,0.000003,0.000001,0.000001
Sync queries,89972,89972.000000,0.158762,0.000000,0.000129,0.000002,0.000001,0.158762,0.000000,0.000129,0.000002,0.000001
